division,date,zhvi,hpi,unemployment_rate,total_population,median_income,bachelors_pct,total_households,construction_permits,rental_vacancy_rate
East South Central,2023-04-01,203260.17666738003,374.77,3.4,3558084.0,67988.4552613148,39.8444048257433,7661599.0,90915.0,6.598333639820311
East South Central,2023-05-01,204970.93790541653,377.485,3.6,3558084.0,67988.4552613148,39.8444048257433,7661599.0,90915.0,6.598333639820311
East South Central,2023-06-01,206506.81333715536,378.13,3.6,3558084.0,67988.4552613148,39.8444048257433,7661599.0,90915.0,6.598333639820311
East South Central,2023-07-01,207419.8444024549,382.38,3.5,3558084.0,67988.4552613148,39.8444048257433,7661599.0,90915.0,6.598333639820311
East South Central,2023-08-01,207805.87986826568,382.57,3.7,3558084.0,67988.4552613148,39.8444048257433,7661599.0,90915.0,6.598333639820311
East South Central,2023-09-01,208060.23441111072,382.81,3.7,3558084.0,67988.4552613148,39.8444048257433,7661599.0,90915.0,6.598333639820311
East South Central,2023-10-01,208237.0635989091,385.08500000000004,3.9,3558084.0,67988.4552613148,39.8444048257433,7661599.0,90915.0,6.598333639820311
East South Central,2023-11-01,208472.154663652,387.055,3.7,3558084.0,67988.4552613148,39.8444048257433,7661599.0,90915.0,6.598333639820311
East South Central,2023-12-01,208551.1100157977,389.185,3.8,3558084.0,67988.4552613148,39.8444048257433,7661599.0,90915.0,6.598333639820311
East South Central,2024-01-01,208394.5941409188,386.1,3.7,3605408.0,71644.6505879501,40.198009351507515,7781424.0,89735.0,6.365982251320354
East South Central,2024-02-01,208553.41469976588,390.26,3.9,3605408.0,71644.6505879501,40.198009351507515,7781424.0,89735.0,6.365982251320354
East South Central,2024-03-01,209573.98149225177,390.815,3.9,3605408.0,71644.6505879501,40.198009351507515,7781424.0,89735.0,6.365982251320354
East South Central,2024-04-01,211396.54718288488,396.905,3.9,3605408.0,71644.6505879501,40.198009351507515,7781424.0,89735.0,6.365982251320354
East South Central,2024-05-01,213095.9423244793,396.555,3.9,3605408.0,71644.6505879501,40.198009351507515,7781424.0,89735.0,6.365982251320354
