division,date,zhvi,hpi,unemployment_rate,total_population,median_income,bachelors_pct
Pacific,2022-02-01,503227.2762196419,444.54,3.9,40194804.0,96667.22575420444,38.66369053074621
Pacific,2022-03-01,513846.4231062788,452.67,3.7,40194804.0,96667.22575420444,38.66369053074621
Pacific,2022-03-01,513846.4231062788,449.33,3.7,40194804.0,96667.22575420444,38.66369053074621
Pacific,2022-04-01,523606.4627319419,460.01,3.7,40194804.0,96667.22575420444,38.66369053074621
Pacific,2022-04-01,523606.4627319419,452.78,3.7,40194804.0,96667.22575420444,38.66369053074621
Pacific,2022-05-01,531319.0147471951,460.44,3.6,40194804.0,96667.22575420444,38.66369053074621
Pacific,2022-05-01,531319.0147471951,452.29,3.6,40194804.0,96667.22575420444,38.66369053074621
Pacific,2022-06-01,535781.5772562091,457.37,3.6,40194804.0,96667.22575420444,38.66369053074621
Pacific,2022-06-01,535781.5772562091,449.74,3.6,40194804.0,96667.22575420444,38.66369053074621
Pacific,2022-07-01,536006.1642236116,448.84,3.5,40194804.0,96667.22575420444,38.66369053074621
Pacific,2022-07-01,536006.1642236116,444.42,3.5,40194804.0,96667.22575420444,38.66369053074621
Pacific,2022-08-01,532458.1751297396,444.22,3.6,40194804.0,96667.22575420444,38.66369053074621
Pacific,2022-08-01,532458.1751297396,440.27,3.6,40194804.0,96667.22575420444,38.66369053074621
Pacific,2022-09-01,515024.7973617975,443.12,3.5,40194804.0,96667.22575420444,38.66369053074621
Pacific,2022-09-01,515024.7973617975,441.87,3.5,40194804.0,96667.22575420444,38.66369053074621
Pacific,2022-10-01,522117.2374058989,440.33,3.6,40194804.0,96667.22575420444,38.66369053074621
Pacific,2022-10-01,522117.2374058989,440.41,3.6,40194804.0,96667.22575420444,38.66369053074621
Pacific,2022-11-01,518521.4152695997,431.6,3.6,40194804.0,96667.22575420444,38.66369053074621
Pacific,2022-11-01,518521.4152695997,434.31,3.6,40194804.0,96667.22575420444,38.66369053074621
Pacific,2022-12-01,515446.9224494715,428.51,3.5,40194804.0,96667.22575420444,38.66369053074621
Pacific,2022-12-01,515446.9224494715,434.04,3.5,40194804.0,96667.22575420444,38.66369053074621
Pacific,2023-01-01,511767.2398750432,429.48,3.5,40139940.0,100496.83291828538,39.48353424544232
Pacific,2023-01-01,511767.2398750432,434.12,3.5,40139940.0,100496.83291828538,39.48353424544232
Pacific,2023-02-01,508732.4238181583,433.3,3.6,40139940.0,100496.83291828538,39.48353424544232
Pacific,2023-02-01,508732.4238181583,434.0,3.6,40139940.0,100496.83291828538,39.48353424544232
Pacific,2023-03-01,507193.2325768645,439.22,3.5,40139940.0,100496.83291828538,39.48353424544232
Pacific,2023-03-01,507193.2325768645,435.8,3.5,40139940.0,100496.83291828538,39.48353424544232
Pacific,2023-04-01,507817.58991873,444.24,3.4,40139940.0,100496.83291828538,39.48353424544232
Pacific,2023-04-01,507817.58991873,436.77,3.4,40139940.0,100496.83291828538,39.48353424544232
Pacific,2023-05-01,509798.7940501666,453.31,3.6,40139940.0,100496.83291828538,39.48353424544232
Pacific,2023-05-01,509798.7940501666,445.22,3.6,40139940.0,100496.83291828538,39.48353424544232
Pacific,2023-06-01,512547.9877708629,454.58,3.6,40139940.0,100496.83291828538,39.48353424544232
Pacific,2023-06-01,512547.9877708629,446.5,3.6,40139940.0,100496.83291828538,39.48353424544232
Pacific,2023-07-01,515386.764225359,451.91,3.5,40139940.0,100496.83291828538,39.48353424544232
Pacific,2023-07-01,515386.764225359,447.36,3.5,40139940.0,100496.83291828538,39.48353424544232
Pacific,2023-08-01,518195.66614556295,455.13,3.7,40139940.0,100496.83291828538,39.48353424544232
Pacific,2023-08-01,518195.66614556295,450.94,3.7,40139940.0,100496.83291828538,39.48353424544232
Pacific,2023-09-01,520314.7045028573,453.3,3.7,40139940.0,100496.83291828538,39.48353424544232
Pacific,2023-09-01,520314.7045028573,452.05,3.7,40139940.0,100496.83291828538,39.48353424544232
Pacific,2023-10-01,521507.81928574975,453.51,3.9,40139940.0,100496.83291828538,39.48353424544232
Pacific,2023-10-01,521507.81928574975,453.62,3.9,40139940.0,100496.83291828538,39.48353424544232
Pacific,2023-11-01,521924.7643489802,453.26,3.7,40139940.0,100496.83291828538,39.48353424544232
Pacific,2023-11-01,521924.7643489802,456.16,3.7,40139940.0,100496.83291828538,39.48353424544232
Pacific,2023-12-01,521869.385866458,450.9,3.8,40139940.0,100496.83291828538,39.48353424544232
Pacific,2023-12-01,521869.385866458,456.75,3.8,40139940.0,100496.83291828538,39.48353424544232
Pacific,2024-01-01,521641.3195725206,450.49,3.7,40690056.0,105489.07444745222,40.00566111533491
Pacific,2024-01-01,521641.3195725206,455.4,3.7,40690056.0,105489.07444745222,40.00566111533491
Pacific,2024-02-01,521924.80107810575,463.67,3.9,40690056.0,105489.07444745222,40.00566111533491
Pacific,2024-02-01,521924.80107810575,464.37,3.9,40690056.0,105489.07444745222,40.00566111533491
Pacific,2024-03-01,523709.0426566175,464.21,3.9,40690056.0,105489.07444745222,40.00566111533491
Pacific,2024-03-01,523709.0426566175,460.49,3.9,40690056.0,105489.07444745222,40.00566111533491
Pacific,2024-04-01,526626.031970452,471.23,3.9,40690056.0,105489.07444745222,40.00566111533491
Pacific,2024-04-01,526626.031970452,463.1,3.9,40690056.0,105489.07444745222,40.00566111533491
Pacific,2024-05-01,529472.570882343,469.65,3.9,40690056.0,105489.07444745222,40.00566111533491
Pacific,2024-05-01,529472.570882343,461.33,3.9,40690056.0,105489.07444745222,40.00566111533491
Pacific,2024-06-01,530914.995094264,470.73,4.1,40690056.0,105489.07444745222,40.00566111533491
Pacific,2024-06-01,530914.995094264,461.97,4.1,40690056.0,105489.07444745222,40.00566111533491
Pacific,2024-07-01,531599.4867456206,469.36,4.2,40690056.0,105489.07444745222,40.00566111533491
Pacific,2024-07-01,531599.4867456206,464.34,4.2,40690056.0,105489.07444745222,40.00566111533491
Pacific,2024-08-01,532053.7394380526,470.11,4.2,40690056.0,105489.07444745222,40.00566111533491
Pacific,2024-08-01,532053.7394380526,465.56,4.2,40690056.0,105489.07444745222,40.00566111533491
Pacific,2024-09-01,532848.4769692472,468.45,4.1,40690056.0,105489.07444745222,40.00566111533491
Pacific,2024-09-01,532848.4769692472,467.12,4.1,40690056.0,105489.07444745222,40.00566111533491
Pacific,2024-10-01,533571.5143793249,465.18,4.1,40690056.0,105489.07444745222,40.00566111533491
Pacific,2024-10-01,533571.5143793249,465.32,4.1,40690056.0,105489.07444745222,40.00566111533491
Pacific,2024-11-01,534230.4252139252,465.83,4.2,40690056.0,105489.07444745222,40.00566111533491
Pacific,2024-11-01,534230.4252139252,468.8,4.2,40690056.0,105489.07444745222,40.00566111533491
Pacific,2024-12-01,535078.9704759303,464.58,4.1,40690056.0,105489.07444745222,40.00566111533491
Pacific,2024-12-01,535078.9704759303,470.58,4.1,40690056.0,105489.07444745222,40.00566111533491
Pacific,2025-01-01,535538.5155893768,467.93,4.0,40690056.0,105489.07444745222,40.00566111533491
Pacific,2025-01-01,535538.5155893768,473.05,4.0,40690056.0,105489.07444745222,40.00566111533491
Pacific,2025-02-01,535534.8973368107,470.83,4.2,40690056.0,105489.07444745222,40.00566111533491
Pacific,2025-02-01,535534.8973368107,471.46,4.2,40690056.0,105489.07444745222,40.00566111533491
Pacific,2025-03-01,534296.9145195152,472.09,4.2,40690056.0,105489.07444745222,40.00566111533491
Pacific,2025-03-01,534296.9145195152,468.26,4.2,40690056.0,105489.07444745222,40.00566111533491
Pacific,2025-04-01,532895.2038625835,475.39,4.2,40690056.0,105489.07444745222,40.00566111533491
Pacific,2025-04-01,532895.2038625835,467.13,4.2,40690056.0,105489.07444745222,40.00566111533491
Pacific,2025-05-01,531209.0340241535,474.19,4.3,40690056.0,105489.07444745222,40.00566111533491
Pacific,2025-05-01,531209.0340241535,466.0,4.3,40690056.0,105489.07444745222,40.00566111533491
Pacific,2025-06-01,529543.6590058063,474.23,4.1,40690056.0,105489.07444745222,40.00566111533491
Pacific,2025-06-01,529543.6590058063,465.41,4.1,40690056.0,105489.07444745222,40.00566111533491
Pacific,2025-07-01,528204.2453683346,471.7,4.3,40690056.0,105489.07444745222,40.00566111533491
Pacific,2025-07-01,528204.2453683346,466.61,4.3,40690056.0,105489.07444745222,40.00566111533491
Pacific,2025-08-01,527298.4282681087,468.07,4.3,40690056.0,105489.07444745222,40.00566111533491
Pacific,2025-08-01,527298.4282681087,463.46,4.3,40690056.0,105489.07444745222,40.00566111533491
Pacific,2025-09-01,527349.3790340929,466.38,4.4,40690056.0,105489.07444745222,40.00566111533491
Pacific,2025-09-01,527349.3790340929,465.0,4.4,40690056.0,105489.07444745222,40.00566111533491
Pacific,2025-10-01,528123.3794247474,464.93,,40690056.0,105489.07444745222,40.00566111533491
Pacific,2025-10-01,528123.3794247474,465.11,,40690056.0,105489.07444745222,40.00566111533491
Pacific,2025-11-01,529404.1371516745,465.84,4.5,40690056.0,105489.07444745222,40.00566111533491
Pacific,2025-11-01,529404.1371516745,468.77,4.5,40690056.0,105489.07444745222,40.00566111533491
Pacific,2025-12-01,530882.664142454,462.66,4.4,40690056.0,105489.07444745222,40.00566111533491
Pacific,2025-12-01,530882.664142454,468.72,4.4,40690056.0,105489.07444745222,40.00566111533491
